unitid,FIPS,county_name,city,state,zip,latitude,longitude,date,week,admission_rate,number_students,TotalCount,TotalCountWeekly,TotalConfirmedPositive,TotalConfirmedPositiveWeekly,TotalPositivityRate,TotalPositivityRateWeekly
126942,8031,Denver County,Denver,CO,80204-2026,39.741413,-105.001044,11oct2020,3160,.673,6738,1432,332,8,2,.5586592178770949,.6024096385542169
126942,8031,Denver County,Denver,CO,80204-2026,39.741413,-105.001044,18oct2020,3161,.673,6738,1843,411,10,2,.5425935973955507,.4866180048661801
126942,8031,Denver County,Denver,CO,80204-2026,39.741413,-105.001044,25oct2020,3162,.673,6738,1881,38,10,0,.531632110579479,0
126942,8031,Denver County,Denver,CO,80204-2026,39.741413,-105.001044,01nov2020,3163,.673,6738,1902,21,13,3,.6834910620399579,14.28571428571428
126942,8031,Denver County,Denver,CO,80204-2026,39.741413,-105.001044,08nov2020,3164,.673,6738,2253,351,21,8,.9320905459387484,2.279202279202279
126942,8031,Denver County,Denver,CO,80204-2026,39.741413,-105.001044,15nov2020,3165,.673,6738,2414,161,24,3,.9942004971002486,1.863354037267081
127556,8077,Mesa County,Grand Junction,CO,81501-3122,39.080643,-108.553275,13sep2020,3156,.8072,8384,8868,955,75,7,.8457374830852503,.7329842931937173
127556,8077,Mesa County,Grand Junction,CO,81501-3122,39.080643,-108.553275,20sep2020,3157,.8072,8384,9823,955,83,8,.8449557161763208,.8376963350785341
127556,8077,Mesa County,Grand Junction,CO,81501-3122,39.080643,-108.553275,27sep2020,3158,.8072,8384,10929,1106,99,16,.9058468295360966,1.446654611211573
127556,8077,Mesa County,Grand Junction,CO,81501-3122,39.080643,-108.553275,04oct2020,3159,.8072,8384,11395,466,105,6,.9214567792891618,1.28755364806867
127556,8077,Mesa County,Grand Junction,CO,81501-3122,39.080643,-108.553275,11oct2020,3160,.8072,8384,12260,865,116,11,.9461663947797716,1.271676300578035
127556,8077,Mesa County,Grand Junction,CO,81501-3122,39.080643,-108.553275,18oct2020,3161,.8072,8384,13202,942,148,32,1.121042266323284,3.397027600849257
127556,8077,Mesa County,Grand Junction,CO,81501-3122,39.080643,-108.553275,25oct2020,3162,.8072,8384,13986,784,175,27,1.251251251251251,3.443877551020408
127556,8077,Mesa County,Grand Junction,CO,81501-3122,39.080643,-108.553275,01nov2020,3163,.8072,8384,14721,735,201,26,1.36539637252904,3.537414965986395
127556,8077,Mesa County,Grand Junction,CO,81501-3122,39.080643,-108.553275,08nov2020,3164,.8072,8384,15670,949,325,124,2.074026802807913,13.06638566912539
127556,8077,Mesa County,Grand Junction,CO,81501-3122,39.080643,-108.553275,15nov2020,3165,.8072,8384,17515,1845,615,290,3.511276049100771,15.71815718157182
128902,9011,New London County,New London,CT,06320-4196,41.379833,-72.107321,13sep2020,3156,.3776,1798,7853,1700,4,1,.050935948045333,.0588235294117647
128902,9011,New London County,New London,CT,06320-4196,41.379833,-72.107321,20sep2020,3157,.3776,1798,13016,5163,6,2,.0460971112476951,.0387371683129963
128902,9011,New London County,New London,CT,06320-4196,41.379833,-72.107321,27sep2020,3158,.3776,1798,16470,3454,7,1,.042501517911354,.0289519397799653
128902,9011,New London County,New London,CT,06320-4196,41.379833,-72.107321,04oct2020,3159,.3776,1798,19841,3371,17,10,.0856811652638476,.2966478789676654
128902,9011,New London County,New London,CT,06320-4196,41.379833,-72.107321,11oct2020,3160,.3776,1798,23245,3404,19,2,.0817380081738008,.0587544065804935
128902,9011,New London County,New London,CT,06320-4196,41.379833,-72.107321,18oct2020,3161,.3776,1798,26600,3355,20,1,.075187969924812,.029806259314456
128902,9011,New London County,New London,CT,06320-4196,41.379833,-72.107321,25oct2020,3162,.3776,1798,29892,3292,26,6,.0869797939247959,.1822600243013366
128902,9011,New London County,New London,CT,06320-4196,41.379833,-72.107321,01nov2020,3163,.3776,1798,33252,3360,36,10,.1082641645615301,.2976190476190476
128902,9011,New London County,New London,CT,06320-4196,41.379833,-72.107321,08nov2020,3164,.3776,1798,35768,2516,52,16,.1453813464549318,.6359300476947536
128902,9011,New London County,New London,CT,06320-4196,41.379833,-72.107321,15nov2020,3165,.3776,1798,39682,3914,72,20,.1814424676175596,.5109862033725089
129020,9013,Tolland County,Storrs,CT,06269,41.809098,-72.249948,13sep2020,3156,.4877,18830,7534,2800,98,45,1.300769843376692,1.607142857142857
129020,9013,Tolland County,Storrs,CT,06269,41.809098,-72.249948,20sep2020,3157,.4877,18830,10760,3226,154,56,1.431226765799257,1.735895846249225
129020,9013,Tolland County,Storrs,CT,06269,41.809098,-72.249948,27sep2020,3158,.4877,18830,12300,1540,192,38,1.560975609756098,2.467532467532468
129020,9013,Tolland County,Storrs,CT,06269,41.809098,-72.249948,04oct2020,3159,.4877,18830,14112,1812,203,11,1.438492063492063,.6070640176600441
129020,9013,Tolland County,Storrs,CT,06269,41.809098,-72.249948,11oct2020,3160,.4877,18830,15774,1662,203,0,1.286927855965513,0
129020,9013,Tolland County,Storrs,CT,06269,41.809098,-72.249948,18oct2020,3161,.4877,18830,17477,1703,215,12,1.230188247410883,.7046388725778039
129020,9013,Tolland County,Storrs,CT,06269,41.809098,-72.249948,25oct2020,3162,.4877,18830,19246,1769,220,5,1.143094669022134,.2826455624646693
129020,9013,Tolland County,Storrs,CT,06269,41.809098,-72.249948,01nov2020,3163,.4877,18830,20989,1743,225,5,1.071990090047167,.2868617326448652
129020,9013,Tolland County,Storrs,CT,06269,41.809098,-72.249948,08nov2020,3164,.4877,18830,23195,2206,241,16,1.039017029532227,.7252946509519492
129020,9013,Tolland County,Storrs,CT,06269,41.809098,-72.249948,15nov2020,3165,.4877,18830,26288,3093,303,62,1.152617163724893,2.004526349822179
129941,9009,New Haven County,West Haven,CT,06516-1916,41.291314,-72.961472,27sep2020,3158,.8387,5041,4740,230,3,0,.0632911392405063,0
129941,9009,New Haven County,West Haven,CT,06516-1916,41.291314,-72.961472,04oct2020,3159,.8387,5041,4988,248,3,0,.0601443464314354,0
129941,9009,New Haven County,West Haven,CT,06516-1916,41.291314,-72.961472,11oct2020,3160,.8387,5041,5524,536,7,4,.1267197682838523,.7462686567164178
129941,9009,New Haven County,West Haven,CT,06516-1916,41.291314,-72.961472,18oct2020,3161,.8387,5041,6019,495,7,0,.1162983884366174,0
129941,9009,New Haven County,West Haven,CT,06516-1916,41.291314,-72.961472,25oct2020,3162,.8387,5041,7969,1950,96,89,1.204668088844272,4.564102564102565
129941,9009,New Haven County,West Haven,CT,06516-1916,41.291314,-72.961472,01nov2020,3163,.8387,5041,8938,969,104,8,1.16357126874021,.8255933952528379
129941,9009,New Haven County,West Haven,CT,06516-1916,41.291314,-72.961472,08nov2020,3164,.8387,5041,10394,1456,110,6,1.058302867038676,.4120879120879121
129941,9009,New Haven County,West Haven,CT,06516-1916,41.291314,-72.961472,15nov2020,3165,.8387,5041,11643,1249,131,21,1.125139568839646,1.681345076060849
130590,9003,Hartford County,Hartford,CT,06106-3100,41.747451,-72.690882,20sep2020,3157,.3355,2162,14190,4507,23,10,.1620859760394644,.2218770800976259
130590,9003,Hartford County,Hartford,CT,06106-3100,41.747451,-72.690882,27sep2020,3158,.3355,2162,18224,4034,27,4,.1481562774363477,.0991571641051066
130590,9003,Hartford County,Hartford,CT,06106-3100,41.747451,-72.690882,04oct2020,3159,.3355,2162,22447,4223,27,0,.1202833340758231,0
